Athlete,State,Sport,Gender,Age,Coach,Event Type,Medals
Yash Yadav,Kerala,Mallakhamb,Female,35,Coach Iyer,Pole Mallakhamb,"Gold, Silver"
Aman Singh,Gujarat,Mallakhamb,Male,26,Coach Iyer,Rope Mallakhamb,
Dev Sharma,Gujarat,Mallakhamb,Female,28,Coach Singh,Pole Mallakhamb,"Silver, Gold"
Dev Singh,Uttar Pradesh,Mallakhamb,Male,31,Coach Patil,Pole Mallakhamb,"Gold, Silver, Gold"
Vijay Reddy,Karnataka,Mallakhamb,Male,26,Coach Patil,Pole Mallakhamb,"Silver, Silver"
Anjali Sharma,Maharashtra,Mallakhamb,Female,24,Coach Singh,Pole Mallakhamb,Silver
Rohan Reddy,West Bengal,Mallakhamb,Female,32,Coach Kumar,Pole Mallakhamb,"Silver, Gold"
Aman Chauhan,Punjab,Mallakhamb,Male,26,Coach Iyer,Pole Mallakhamb,"Silver, Bronze, Bronze"
Arjun Chauhan,Rajasthan,Mallakhamb,Female,19,Coach Sharma,Pole Mallakhamb,
Dev Chauhan,Punjab,Mallakhamb,Female,18,Coach Patil,Pole Mallakhamb,"Gold, Bronze"
Dev Joshi,Uttar Pradesh,Mallakhamb,Female,17,Coach Singh,Pole Mallakhamb,
Pooja Desai,Maharashtra,Mallakhamb,Female,30,Coach Iyer,Rope Mallakhamb,"Silver, Bronze, Bronze"
Pooja Sharma,Haryana,Mallakhamb,Female,34,Coach Kumar,Pole Mallakhamb,
Yash Singh,Punjab,Mallakhamb,Male,24,Coach Sharma,Pole Mallakhamb,"Gold, Gold, Gold"
Vijay Sharma,Uttar Pradesh,Mallakhamb,Male,28,Coach Kumar,Rope Mallakhamb,Gold
Aman Patil,Karnataka,Mallakhamb,Female,29,Coach Iyer,Pole Mallakhamb,
Isha Desai,Haryana,Mallakhamb,Female,21,Coach Kumar,Rope Mallakhamb,"Gold, Gold, Silver"
Anjali Desai,Haryana,Mallakhamb,Female,17,Coach Kumar,Rope Mallakhamb,"Silver, Gold"
Yash Kaur,Gujarat,Mallakhamb,Female,29,Coach Sharma,Pole Mallakhamb,
Yash Desai,Haryana,Mallakhamb,Female,23,Coach Singh,Rope Mallakhamb,Silver
Yash Yadav,Haryana,Mallakhamb,Male,28,Coach Kumar,Pole Mallakhamb,"Gold, Bronze, Gold"
Sakshi Reddy,Tamil Nadu,Mallakhamb,Male,25,Coach Kumar,Pole Mallakhamb,"Silver, Gold"
Rohan Joshi,Tamil Nadu,Mallakhamb,Female,16,Coach Iyer,Pole Mallakhamb,"Silver, Silver, Bronze"
Pooja Sharma,Haryana,Mallakhamb,Female,29,Coach Kumar,Rope Mallakhamb,"Silver, Gold, Gold"
Yash Sharma,Punjab,Mallakhamb,Female,18,Coach Sharma,Pole Mallakhamb,"Gold, Gold, Silver"
Vijay Chauhan,Punjab,Mallakhamb,Male,23,Coach Iyer,Rope Mallakhamb,"Silver, Bronze"
Vijay Joshi,Uttar Pradesh,Mallakhamb,Female,32,Coach Kumar,Rope Mallakhamb,"Gold, Gold, Silver"
Pooja Chauhan,West Bengal,Mallakhamb,Male,29,Coach Singh,Pole Mallakhamb,Silver
Pooja Joshi,West Bengal,Mallakhamb,Male,31,Coach Sharma,Rope Mallakhamb,"Gold, Gold"
Pooja Chauhan,Kerala,Mallakhamb,Male,26,Coach Singh,Rope Mallakhamb,
Sakshi Reddy,Uttar Pradesh,Mallakhamb,Female,26,Coach Iyer,Rope Mallakhamb,
Aman Chauhan,Rajasthan,Mallakhamb,Male,17,Coach Patil,Pole Mallakhamb,"Gold, Gold, Bronze"
Aman Kaur,Haryana,Mallakhamb,Female,24,Coach Kumar,Pole Mallakhamb,Bronze
Sakshi Chauhan,Punjab,Mallakhamb,Female,25,Coach Patil,Pole Mallakhamb,
Arjun Chauhan,Punjab,Mallakhamb,Male,35,Coach Sharma,Pole Mallakhamb,
Pooja Singh,Tamil Nadu,Mallakhamb,Male,27,Coach Singh,Rope Mallakhamb,Bronze
Dev Nair,Tamil Nadu,Mallakhamb,Male,33,Coach Singh,Rope Mallakhamb,"Bronze, Gold, Bronze"
Anjali Sharma,Gujarat,Mallakhamb,Female,19,Coach Sharma,Pole Mallakhamb,"Gold, Silver, Gold"
Sakshi Singh,Rajasthan,Mallakhamb,Female,32,Coach Kumar,Rope Mallakhamb,"Gold, Gold, Bronze"
Anjali Sharma,Maharashtra,Mallakhamb,Male,29,Coach Sharma,Rope Mallakhamb,"Gold, Bronze, Silver"
Pooja Yadav,Karnataka,Mallakhamb,Male,26,Coach Singh,Pole Mallakhamb,Bronze
Isha Sharma,Kerala,Mallakhamb,Female,26,Coach Kumar,Rope Mallakhamb,
Aman Yadav,Punjab,Mallakhamb,Female,33,Coach Singh,Pole Mallakhamb,"Bronze, Bronze, Silver"
Dev Reddy,Haryana,Mallakhamb,Female,28,Coach Iyer,Rope Mallakhamb,"Gold, Silver"
Yash Desai,Gujarat,Mallakhamb,Male,18,Coach Iyer,Rope Mallakhamb,"Bronze, Silver, Bronze"
Aman Yadav,Punjab,Mallakhamb,Male,29,Coach Singh,Rope Mallakhamb,
Dev Patil,Gujarat,Mallakhamb,Female,27,Coach Singh,Rope Mallakhamb,Silver
Isha Patil,Uttar Pradesh,Mallakhamb,Female,28,Coach Singh,Rope Mallakhamb,
Isha Nair,Karnataka,Mallakhamb,Female,23,Coach Kumar,Rope Mallakhamb,
Pooja Reddy,Tamil Nadu,Mallakhamb,Female,21,Coach Sharma,Pole Mallakhamb,
Rohan Chauhan,Maharashtra,Mallakhamb,Male,34,Coach Iyer,Pole Mallakhamb,Gold
Vijay Joshi,West Bengal,Mallakhamb,Female,30,Coach Sharma,Pole Mallakhamb,Bronze
Vijay Joshi,Karnataka,Mallakhamb,Male,32,Coach Iyer,Pole Mallakhamb,Bronze
Arjun Reddy,Kerala,Mallakhamb,Male,23,Coach Sharma,Pole Mallakhamb,"Bronze, Silver, Bronze"
Arjun Kaur,Uttar Pradesh,Mallakhamb,Female,18,Coach Singh,Pole Mallakhamb,"Bronze, Gold, Gold"
Arjun Kaur,Tamil Nadu,Mallakhamb,Female,23,Coach Singh,Rope Mallakhamb,"Silver, Silver"
Isha Yadav,West Bengal,Mallakhamb,Female,18,Coach Kumar,Pole Mallakhamb,"Silver, Gold"
Aman Reddy,Gujarat,Mallakhamb,Female,16,Coach Singh,Pole Mallakhamb,Gold
Arjun Singh,Rajasthan,Mallakhamb,Male,23,Coach Singh,Rope Mallakhamb,"Gold, Gold, Gold"
Dev Sharma,West Bengal,Mallakhamb,Female,26,Coach Sharma,Rope Mallakhamb,"Gold, Gold, Silver"
Vijay Sharma,West Bengal,Mallakhamb,Male,17,Coach Patil,Rope Mallakhamb,Bronze
Arjun Singh,Tamil Nadu,Mallakhamb,Male,24,Coach Iyer,Pole Mallakhamb,"Silver, Bronze, Gold"
Dev Singh,Punjab,Mallakhamb,Male,33,Coach Sharma,Pole Mallakhamb,
Dev Nair,Maharashtra,Mallakhamb,Male,31,Coach Patil,Pole Mallakhamb,Bronze
Rohan Sharma,Haryana,Mallakhamb,Male,23,Coach Kumar,Rope Mallakhamb,"Gold, Gold, Silver"
Rohan Nair,Gujarat,Mallakhamb,Female,30,Coach Kumar,Pole Mallakhamb,Silver
Vijay Sharma,West Bengal,Mallakhamb,Female,21,Coach Singh,Pole Mallakhamb,
Pooja Yadav,Punjab,Mallakhamb,Female,18,Coach Patil,Rope Mallakhamb,
Dev Chauhan,Uttar Pradesh,Mallakhamb,Female,24,Coach Iyer,Rope Mallakhamb,"Bronze, Silver"
Arjun Singh,Rajasthan,Mallakhamb,Female,24,Coach Singh,Rope Mallakhamb,Gold
Pooja Joshi,Karnataka,Mallakhamb,Male,30,Coach Iyer,Pole Mallakhamb,"Bronze, Gold, Silver"
Anjali Kaur,Punjab,Mallakhamb,Male,27,Coach Sharma,Rope Mallakhamb,"Gold, Bronze"
Vijay Joshi,West Bengal,Mallakhamb,Female,26,Coach Patil,Pole Mallakhamb,"Bronze, Gold"
Arjun Yadav,Uttar Pradesh,Mallakhamb,Male,23,Coach Kumar,Pole Mallakhamb,Bronze
Anjali Patil,Rajasthan,Mallakhamb,Female,17,Coach Kumar,Rope Mallakhamb,"Silver, Bronze, Bronze"
Yash Singh,Haryana,Mallakhamb,Male,19,Coach Patil,Pole Mallakhamb,Gold
Isha Kaur,Gujarat,Mallakhamb,Female,16,Coach Iyer,Rope Mallakhamb,"Silver, Bronze, Gold"
Rohan Singh,Punjab,Mallakhamb,Male,34,Coach Singh,Pole Mallakhamb,Silver
Aman Chauhan,Uttar Pradesh,Mallakhamb,Male,21,Coach Iyer,Rope Mallakhamb,"Bronze, Bronze"
Vijay Nair,Tamil Nadu,Mallakhamb,Male,35,Coach Patil,Rope Mallakhamb,Bronze
Anjali Patil,Tamil Nadu,Mallakhamb,Female,27,Coach Patil,Rope Mallakhamb,Silver
Yash Joshi,Maharashtra,Mallakhamb,Female,22,Coach Iyer,Rope Mallakhamb,"Gold, Bronze, Bronze"
Rohan Singh,Kerala,Mallakhamb,Male,29,Coach Patil,Rope Mallakhamb,"Bronze, Bronze, Gold"
Pooja Patil,Kerala,Mallakhamb,Female,35,Coach Sharma,Rope Mallakhamb,"Gold, Silver"
Dev Sharma,West Bengal,Mallakhamb,Male,19,Coach Kumar,Rope Mallakhamb,"Silver, Silver, Gold"
Sakshi Reddy,Karnataka,Mallakhamb,Male,28,Coach Singh,Pole Mallakhamb,
Yash Reddy,West Bengal,Mallakhamb,Male,28,Coach Patil,Pole Mallakhamb,
Rohan Patil,Punjab,Mallakhamb,Male,33,Coach Singh,Rope Mallakhamb,"Silver, Gold, Silver"
Arjun Joshi,Maharashtra,Mallakhamb,Female,26,Coach Sharma,Rope Mallakhamb,"Silver, Gold"
Dev Joshi,Tamil Nadu,Mallakhamb,Male,30,Coach Kumar,Pole Mallakhamb,
Rohan Singh,Tamil Nadu,Mallakhamb,Male,34,Coach Patil,Rope Mallakhamb,Gold
Yash Patil,West Bengal,Mallakhamb,Female,32,Coach Patil,Rope Mallakhamb,Silver
Anjali Chauhan,Tamil Nadu,Mallakhamb,Female,19,Coach Iyer,Pole Mallakhamb,"Silver, Bronze, Bronze"
Arjun Kaur,Punjab,Mallakhamb,Female,29,Coach Patil,Rope Mallakhamb,Silver
Yash Yadav,Uttar Pradesh,Mallakhamb,Female,24,Coach Iyer,Pole Mallakhamb,"Bronze, Gold"
Vijay Joshi,Gujarat,Mallakhamb,Male,27,Coach Iyer,Pole Mallakhamb,
Arjun Sharma,West Bengal,Mallakhamb,Female,20,Coach Patil,Pole Mallakhamb,"Silver, Silver, Silver"
Anjali Singh,Uttar Pradesh,Mallakhamb,Male,29,Coach Sharma,Pole Mallakhamb,
Dev Chauhan,Haryana,Mallakhamb,Male,16,Coach Kumar,Pole Mallakhamb,
Isha Singh,Punjab,Mallakhamb,Male,22,Coach Iyer,Pole Mallakhamb,
Isha Joshi,Tamil Nadu,Mallakhamb,Female,22,Coach Patil,Rope Mallakhamb,"Bronze, Silver, Bronze"
Rohan Reddy,Punjab,Mallakhamb,Male,27,Coach Kumar,Rope Mallakhamb,Bronze
Arjun Yadav,Punjab,Mallakhamb,Female,34,Coach Sharma,Pole Mallakhamb,Bronze
Rohan Chauhan,Haryana,Mallakhamb,Male,27,Coach Kumar,Pole Mallakhamb,"Gold, Gold"
Dev Sharma,Uttar Pradesh,Mallakhamb,Male,20,Coach Kumar,Rope Mallakhamb,"Bronze, Silver, Gold"
Isha Nair,Haryana,Mallakhamb,Female,17,Coach Singh,Pole Mallakhamb,
Vijay Singh,Rajasthan,Mallakhamb,Female,33,Coach Singh,Pole Mallakhamb,Bronze
Pooja Reddy,Rajasthan,Mallakhamb,Male,18,Coach Iyer,Rope Mallakhamb,Silver
Aman Singh,Haryana,Mallakhamb,Female,20,Coach Kumar,Pole Mallakhamb,
Rohan Patil,Karnataka,Mallakhamb,Female,34,Coach Sharma,Rope Mallakhamb,"Gold, Gold"
Dev Joshi,Karnataka,Mallakhamb,Male,17,Coach Kumar,Rope Mallakhamb,
Pooja Chauhan,West Bengal,Mallakhamb,Male,22,Coach Sharma,Rope Mallakhamb,
Pooja Singh,Kerala,Mallakhamb,Male,32,Coach Patil,Rope Mallakhamb,"Silver, Bronze"
Isha Desai,Karnataka,Mallakhamb,Male,32,Coach Kumar,Rope Mallakhamb,"Bronze, Gold, Silver"
Vijay Nair,Rajasthan,Mallakhamb,Female,23,Coach Singh,Rope Mallakhamb,Gold
Dev Desai,Uttar Pradesh,Mallakhamb,Female,35,Coach Kumar,Pole Mallakhamb,"Bronze, Silver"
Dev Nair,West Bengal,Mallakhamb,Female,33,Coach Singh,Pole Mallakhamb,
Rohan Sharma,Gujarat,Mallakhamb,Male,18,Coach Iyer,Pole Mallakhamb,"Silver, Silver"
Dev Singh,Tamil Nadu,Mallakhamb,Female,35,Coach Sharma,Pole Mallakhamb,
Rohan Chauhan,West Bengal,Mallakhamb,Female,17,Coach Patil,Pole Mallakhamb,Bronze
Dev Reddy,Uttar Pradesh,Mallakhamb,Male,18,Coach Kumar,Rope Mallakhamb,Gold
Yash Patil,Punjab,Mallakhamb,Male,30,Coach Iyer,Rope Mallakhamb,
Aman Patil,Punjab,Mallakhamb,Female,24,Coach Kumar,Pole Mallakhamb,Silver
Pooja Desai,Karnataka,Mallakhamb,Female,18,Coach Singh,Rope Mallakhamb,"Bronze, Bronze"
Yash Joshi,Gujarat,Mallakhamb,Female,35,Coach Singh,Pole Mallakhamb,"Silver, Gold"
Vijay Chauhan,Punjab,Mallakhamb,Female,34,Coach Iyer,Rope Mallakhamb,"Bronze, Bronze"
Yash Patil,Kerala,Mallakhamb,Male,30,Coach Sharma,Rope Mallakhamb,Gold
Aman Singh,Haryana,Mallakhamb,Male,21,Coach Singh,Pole Mallakhamb,"Bronze, Silver, Gold"
Aman Joshi,Rajasthan,Mallakhamb,Female,19,Coach Sharma,Rope Mallakhamb,Bronze
Anjali Desai,Kerala,Mallakhamb,Female,16,Coach Iyer,Pole Mallakhamb,"Bronze, Silver"
Dev Kaur,Haryana,Mallakhamb,Female,22,Coach Patil,Pole Mallakhamb,
Dev Sharma,West Bengal,Mallakhamb,Female,29,Coach Iyer,Rope Mallakhamb,
Sakshi Joshi,Punjab,Mallakhamb,Female,31,Coach Singh,Rope Mallakhamb,"Gold, Silver, Bronze"
Aman Patil,Gujarat,Mallakhamb,Female,21,Coach Patil,Rope Mallakhamb,"Gold, Gold, Bronze"
Aman Yadav,Karnataka,Mallakhamb,Female,23,Coach Singh,Pole Mallakhamb,
Isha Sharma,Gujarat,Mallakhamb,Female,27,Coach Kumar,Rope Mallakhamb,
Isha Sharma,Karnataka,Mallakhamb,Male,18,Coach Sharma,Pole Mallakhamb,"Gold, Bronze, Gold"
Pooja Desai,Punjab,Mallakhamb,Male,30,Coach Singh,Rope Mallakhamb,"Gold, Gold"
Arjun Joshi,Kerala,Mallakhamb,Male,19,Coach Kumar,Pole Mallakhamb,"Gold, Bronze"
Yash Chauhan,Rajasthan,Mallakhamb,Male,28,Coach Patil,Pole Mallakhamb,Silver
Yash Desai,Haryana,Mallakhamb,Male,32,Coach Iyer,Rope Mallakhamb,"Silver, Bronze, Bronze"
Aman Desai,Punjab,Mallakhamb,Female,23,Coach Kumar,Pole Mallakhamb,
Vijay Kaur,West Bengal,Mallakhamb,Male,19,Coach Kumar,Pole Mallakhamb,Gold
Aman Chauhan,Tamil Nadu,Mallakhamb,Male,24,Coach Patil,Pole Mallakhamb,
Isha Joshi,Rajasthan,Mallakhamb,Male,27,Coach Patil,Pole Mallakhamb,
Vijay Sharma,Uttar Pradesh,Mallakhamb,Male,28,Coach Sharma,Pole Mallakhamb,"Gold, Gold"
Pooja Yadav,West Bengal,Mallakhamb,Female,17,Coach Kumar,Rope Mallakhamb,"Bronze, Silver, Gold"
Isha Reddy,Haryana,Mallakhamb,Female,30,Coach Singh,Rope Mallakhamb,
Yash Singh,Maharashtra,Mallakhamb,Male,34,Coach Kumar,Rope Mallakhamb,"Silver, Gold, Silver"
Isha Patil,Karnataka,Mallakhamb,Male,19,Coach Singh,Rope Mallakhamb,
Aman Reddy,Gujarat,Mallakhamb,Male,28,Coach Singh,Rope Mallakhamb,"Silver, Gold, Bronze"
Yash Yadav,West Bengal,Mallakhamb,Female,28,Coach Singh,Rope Mallakhamb,
Vijay Reddy,Karnataka,Mallakhamb,Male,18,Coach Patil,Rope Mallakhamb,"Silver, Silver"
Dev Nair,Uttar Pradesh,Mallakhamb,Female,18,Coach Kumar,Rope Mallakhamb,"Silver, Silver"
Aman Reddy,Karnataka,Mallakhamb,Female,31,Coach Kumar,Pole Mallakhamb,Bronze
Anjali Reddy,West Bengal,Mallakhamb,Male,22,Coach Kumar,Pole Mallakhamb,
Aman Chauhan,Punjab,Mallakhamb,Female,16,Coach Sharma,Pole Mallakhamb,"Gold, Silver"
Arjun Kaur,Maharashtra,Mallakhamb,Male,31,Coach Kumar,Rope Mallakhamb,Bronze
Aman Kaur,Haryana,Mallakhamb,Male,29,Coach Singh,Pole Mallakhamb,"Bronze, Bronze, Gold"
Anjali Sharma,Maharashtra,Mallakhamb,Female,24,Coach Sharma,Pole Mallakhamb,
Pooja Kaur,Maharashtra,Mallakhamb,Male,28,Coach Patil,Rope Mallakhamb,
Pooja Patil,Tamil Nadu,Mallakhamb,Male,32,Coach Singh,Pole Mallakhamb,"Silver, Silver, Silver"
Sakshi Yadav,West Bengal,Mallakhamb,Female,27,Coach Patil,Pole Mallakhamb,"Silver, Gold, Bronze"
Rohan Sharma,Rajasthan,Mallakhamb,Female,35,Coach Sharma,Pole Mallakhamb,"Gold, Bronze, Bronze"
Yash Joshi,West Bengal,Mallakhamb,Female,17,Coach Singh,Rope Mallakhamb,"Bronze, Gold"
Arjun Nair,Haryana,Mallakhamb,Female,16,Coach Patil,Rope Mallakhamb,"Silver, Silver"
Pooja Sharma,Punjab,Mallakhamb,Male,20,Coach Patil,Pole Mallakhamb,Bronze
Anjali Nair,Rajasthan,Mallakhamb,Female,29,Coach Iyer,Rope Mallakhamb,"Bronze, Gold, Gold"
Rohan Kaur,Punjab,Mallakhamb,Male,21,Coach Singh,Rope Mallakhamb,
Dev Kaur,Haryana,Mallakhamb,Male,24,Coach Sharma,Rope Mallakhamb,"Bronze, Gold, Silver"
Isha Patil,Gujarat,Mallakhamb,Male,34,Coach Sharma,Pole Mallakhamb,"Gold, Bronze"
Sakshi Kaur,West Bengal,Mallakhamb,Female,28,Coach Singh,Pole Mallakhamb,"Silver, Bronze, Silver"
Isha Singh,Gujarat,Mallakhamb,Female,32,Coach Iyer,Rope Mallakhamb,"Gold, Bronze, Bronze"
Yash Patil,Uttar Pradesh,Mallakhamb,Female,32,Coach Singh,Pole Mallakhamb,Silver
Isha Joshi,Tamil Nadu,Mallakhamb,Female,33,Coach Singh,Rope Mallakhamb,
Sakshi Joshi,Punjab,Mallakhamb,Female,18,Coach Iyer,Pole Mallakhamb,Gold
Sakshi Reddy,Punjab,Mallakhamb,Male,22,Coach Kumar,Rope Mallakhamb,"Silver, Bronze, Gold"
Aman Joshi,Karnataka,Mallakhamb,Female,16,Coach Patil,Pole Mallakhamb,"Gold, Gold, Bronze"
Isha Singh,West Bengal,Mallakhamb,Male,29,Coach Sharma,Pole Mallakhamb,
Yash Sharma,Rajasthan,Mallakhamb,Male,26,Coach Iyer,Rope Mallakhamb,
Dev Singh,Tamil Nadu,Mallakhamb,Male,29,Coach Singh,Rope Mallakhamb,Silver
Vijay Yadav,Rajasthan,Mallakhamb,Male,18,Coach Kumar,Pole Mallakhamb,"Bronze, Gold, Bronze"
Dev Joshi,Uttar Pradesh,Mallakhamb,Female,26,Coach Patil,Pole Mallakhamb,
Vijay Patil,Rajasthan,Mallakhamb,Male,33,Coach Sharma,Rope Mallakhamb,Bronze
Anjali Kaur,Rajasthan,Mallakhamb,Male,23,Coach Patil,Rope Mallakhamb,"Bronze, Silver"
Sakshi Joshi,Maharashtra,Mallakhamb,Female,18,Coach Singh,Pole Mallakhamb,"Silver, Silver, Bronze"
Vijay Patil,Maharashtra,Mallakhamb,Female,20,Coach Sharma,Rope Mallakhamb,"Bronze, Gold, Silver"
Vijay Joshi,Karnataka,Mallakhamb,Female,18,Coach Iyer,Rope Mallakhamb,
Vijay Joshi,Gujarat,Mallakhamb,Male,32,Coach Sharma,Rope Mallakhamb,Gold
Dev Reddy,Rajasthan,Mallakhamb,Male,19,Coach Patil,Rope Mallakhamb,Silver
Pooja Kaur,Kerala,Mallakhamb,Female,25,Coach Patil,Rope Mallakhamb,"Bronze, Gold"
Dev Patil,Maharashtra,Mallakhamb,Male,28,Coach Iyer,Pole Mallakhamb,"Gold, Gold"
Dev Nair,Rajasthan,Mallakhamb,Female,32,Coach Singh,Pole Mallakhamb,Gold
Vijay Desai,Kerala,Mallakhamb,Male,31,Coach Patil,Pole Mallakhamb,Gold
Dev Nair,Haryana,Mallakhamb,Female,33,Coach Sharma,Pole Mallakhamb,"Bronze, Silver, Gold"
Isha Chauhan,Gujarat,Mallakhamb,Female,30,Coach Sharma,Rope Mallakhamb,Gold
Pooja Kaur,Gujarat,Mallakhamb,Female,25,Coach Patil,Pole Mallakhamb,"Bronze, Silver"
Isha Sharma,Haryana,Mallakhamb,Female,22,Coach Kumar,Pole Mallakhamb,
Arjun Joshi,Maharashtra,Mallakhamb,Male,16,Coach Kumar,Rope Mallakhamb,"Bronze, Gold, Bronze"
Anjali Chauhan,Punjab,Mallakhamb,Female,32,Coach Kumar,Pole Mallakhamb,"Silver, Gold"
Arjun Chauhan,Tamil Nadu,Mallakhamb,Male,16,Coach Sharma,Pole Mallakhamb,"Bronze, Gold, Gold"
Arjun Yadav,Maharashtra,Mallakhamb,Male,28,Coach Kumar,Pole Mallakhamb,Gold
Isha Joshi,Tamil Nadu,Mallakhamb,Male,19,Coach Sharma,Rope Mallakhamb,"Bronze, Bronze, Silver"
Rohan Joshi,Rajasthan,Mallakhamb,Female,33,Coach Sharma,Pole Mallakhamb,Gold
Pooja Desai,Maharashtra,Mallakhamb,Male,31,Coach Sharma,Rope Mallakhamb,"Bronze, Bronze, Bronze"
Dev Patil,Tamil Nadu,Mallakhamb,Female,22,Coach Sharma,Rope Mallakhamb,"Silver, Silver, Gold"
Yash Joshi,Gujarat,Mallakhamb,Female,35,Coach Singh,Rope Mallakhamb,"Bronze, Bronze"
Rohan Yadav,Punjab,Mallakhamb,Female,22,Coach Kumar,Pole Mallakhamb,
Isha Chauhan,Kerala,Mallakhamb,Male,24,Coach Sharma,Pole Mallakhamb,Bronze
Yash Patil,Kerala,Mallakhamb,Male,28,Coach Singh,Pole Mallakhamb,Gold
Aman Joshi,Punjab,Mallakhamb,Male,32,Coach Sharma,Rope Mallakhamb,"Bronze, Silver"
